,ar,"اشتبه العلماء بكون قمر زحل إنسيلادوس نشط جيولوجياً ومصدر محتمل لحلقة الإي الجليدية لزحل."
,ar,"مْبرمجين بش يرجعو الجولف والرجبي للألعاب الأولمبية."
,ar,"ترشحو زوز غنايات من فيلم (The Fools Who Dream and City of Stars) لجائزة احسن اغنية اصلية. ترشح استوديو ليونزقات 26 (Lionsgate26) اكثر من أي استوديو آخر."
,ar,"يِتْعدا المْرض بالخنزير، ويتعدا للبشر بالناموس."
,ar,"أقل عرض تحت ماريا وأعرض تحت المرتفعات."
,af,"Nadal se kop-teen-kop rekord teen die Kanadees is 7-2."
,af,"Hsieh het ook geredeneer dat die fotogeniese Ma meer styl as inhoud was."
,af,"Speler van die dag is Alex Ovechkin van die Washington-hoofstede."
,af,"In 1988 toe hul studente was by UW, lank voor The Daily Show en The Colbert Report, het Heck en Johnson ‘n parodieër’ beoog wat die nuus en nuus verslaggewing sou parodie."
,af,"Sir Richard Branson se Virgin Group se bod op die bank is van die hand gewys voor die nasionalisering van die bank."
,af,"ń Avenger myn skip was op pad na Puerto Princesa in Palawan."
,af,"Die atoom kan as een van die fundamentele boustene van alle materie gereken word."
,af,"Kliptrappe is uitgelê op meeste van die pad, en in die steiler seksies verskaf staal kabels ‘n ondersteunende handreling."
,af,"So is die gissing van die Delhi Belly, the Pharaoh's Curse, Montezuma's Revenge, en hul vele vriende."
,af,"Sy 1000ste seël was die manjifieke “Great Deeds by Swedish Kings” deur David Klöcker Ehrenstrahl in 2000 en is gelys in die Guinness Book of World Records."
,af,"Die name van die beskuldigdes is Baba Kanjar, Bhutha Kanjar, Rampro Kanjar, Gaza Kanjar en Vishnu Kanjar."
,af,"Xinhua berig dat die staat se ondersoekspan op Woensdag twee ‘black box’-vlugopnemers verhaal het."
,af,"Machu Picchu bestaan uit drie hoof strukture, naamliks Intihuatana, die Temple of the Sun, en die Room of the Three Windows."
,af,"Kort na die uitbraak van onluste het Britanje ‘n vlootblokkade van Duitsland inisieër."
,af,"Waspore is gebou in Engeland so vroeg as die 16e eeu."
,af,"Alle burgers van die Vatikaan Stad is Rooms Katoliek."
,af,"Die kors is ongeveer 70km dik aan die naaste kant en 100 km dik aan die ver kant."
,af,"Die stad is ook die wegspringplek om die Nyiragongo-vulkaan te bestyg, saam met die goedkoopste berg-gorilla-spore in Afrika."
,af,"Montevideo is in ‘n subtropiese streek; in die somermaande is temperature van bo +30°C algemeen."
,af,"‘n Stapsafari (ook genaamd ‘n “bosstap”, “loopsafari”, of gaan “stap”) bestaan uit ‘n wandeling van ‘n paar uur tot ‘n paar dae."
,af,"Die noorderlike deel van Sentinel Bergreeks het Antarktika se hoogste berge, die Vinson Massif, wat piek teen 4892m - Mount Vinson."
,af,"Ortodokse Christengodsdiens is die hoofgodsdiens in Moldawië."
,am,"በ 2016 ለፕሬዚዳንትነት እንደሚወዳደሩ ይገመታል።"
,am,"እፅዋት ከፀሀይ በብርሃን አስተፃምሮ ምግባቸውን ያዘጋጃሉ። ጥላም ያቀርባሉ።"
,ar,"اشتبه العلما إنو إنسيلادوس نشط جيولوجيًا ومصدر محتمل للحلقة الجليدية لزحل."
,ar,"رح يتصرف متل المي. هو شفاف تمامًا متل المي."
,ar,"وقع لينز عن دراجته بوقت التحماية، وصدمه زميله المتسابق زافيير زيات."
,ar,"بتحتوي منطقة Serengeti على حديقة Serengeti الوطنية ومنطقة محمية Ngorongoro ومحمية Maswa Game بتنزانيا ومحمية Maasai Mara الوطنية بكينيا."
,ar,"تلقت كل من أغنية (Audition (The Fools Who Dream وأغنية (City of Stars) من فيلم La la land ترشيحات لأفضل أغنية أصلية. وتلقى استوديو ليونزغايت 26 ترشيح أكتر من أي ستوديو تاني."
,ar,"بالثمانينات اشتغل ببرامج متل Taxi و Cheers و The Tracy Ullman Show."
,ar,"والمتهمين هنّي بابا كنجار وبوثا كنجار ورامبرو كنجار وغزة كنجار وفيشنو كانجار."
,ar,"وبياخد 'رمز up bow' شكل حرف V ورمز 'down bow' شكل مربع بدون جانبه السفلي."
,ar,"الرضوفيات و حشرة التخت عه متعاششان، متكيفين للعيش بعش أو مسكن مستضيفهم."
,ar,"هو أرق تحت ماريا وأسمك تحت المرتفعات."
,ar,"الباريسيين مشهورين بأنانيتن ووقاحتن وعجرفتن."
,ar,"رح يرجعو الجولف والرجبي للألعاب الأولمبية."
,ar,"رح يتصرف متل المي. هو شفاف تمامًا متل المي."
,ar,"خلال الثمانينيات عمل في عروض مثل Taxi و Cheers و The Tracey Ullman Show."
,ar,"هو رقيق تحت ماريا وأكتر سماكة تحت المرتفعات."
,ar,"بطلع البرجين لارتفاع 83 متر، وطولهم 378 متر وفيهم ممرين عرضهم 3.50 م."
,ar,"الزملاء المصارعين مدحوا لونا برده."
,bs,"Pilot je identifikovan kao vođa eskadrile Dilokrit Pattavee."
,bs,"Protest je počeo oko 11:00 sati po lokalnom vremenu (UTC+1), na Whitehallu, preko puta ulaza u Downing Street, službenu rezidenciju premijera, koju štiti policija."
,bs,"Nakon meča, kralj šljake je rekao: „Tako sam uzbuđen što sam ponovo u završnim kolima najvažnijih događaja. Ovdje sam da pobijedim.“"
,bs,"Hsieh je također tvrdila da fotogenična Ma ima više stila nego kvaliteta."
,bs,"Ovechkinova prva asistencija te večeri je bila za gol za pobjedu koji je postigao novajlija Nicklas Backstrom;"
,bs,"Zatvor je postao poznat kada se otkrila istina o nasilju nad zatvorenicima nakon što su američke snage preuzele zatvor."
,bs,"Piquet mlađi imao je nesreću na Velikoj nagradi Singapura 2008. godine, odmah nakon što je Fernando Alonso neočekivano rano otišao u boks, zbog čega je na stazu izašao sigurnosni automobil."
,bs,"Nakon što su vozila ispred Alonsa otišla da natoče gorivo dok je sigurnosni automobil bio na stazi, on je krenuo po pobjedu."
,bs,"Svaka epizoda emisije fokusirala se na jednu temu iz odabrane knjige, a potom je istražila tu temu kroz nekoliko priča."
,bs,"U svakoj emisiji daju se i preporuke za knjige koje djeca trebaju tražiti kada idu u biblioteku."
,bs,"John Grant, sa stanice WNED iz Buffala (matična stanica „Reading Rainbow“), rekao je da je „Emisija Reading Rainbow naučila djecu zašto da čitaju...ljubav prema čitanju - [emisija] je potakla djecu da uzmu knjigu i da čitaju.“"
,bs,"Uragan Fred trenutno uzrokuje vjetrove brzine 105 milja na sat (165 km/h) i kreće se u pravcu sjeverozapada."
,bs,"Gospodin Reid uspio je sedam puta preći most u novozelandskom automobilu A1GP, „Black Beauty“ (crna ljepotica)brzinom većom od 160 km/h."
,bs,"Novozelandska policija imala je problema sa svojim brzinskim radarskim pištoljima kako bi uočila koliko brzo g. Reid ide zbog toga koliko je Black Beauty niska, a jedini put kada je policija uspjela izmjeriti brzinu g. Reida bilo je kad je usporio na 160 km/h."
,bs,"„Ako postane komercijalna, trebali bismo je imati. To znači da u principu ne postoji protivljenje korištenju nuklearne energije,“ rekao je gospodin Costello."
,bs,"Policija je rekla da je Lo Piccolo imao prednost jer je bio Provenzanova desna ruka u Palermu i njegovo veće iskustvo mu je osiguralo poštovanje starije generacije bosova koji su pratili Provenzanovu politiku neupadljivosti uz istovremeno jačanje svoje mreže."
